Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Ball_Bonus
04/02/2023,5,6,12,14,34,35,7
31/01/2023,1,11,23,25,32,33,1
28/01/2023,1,12,18,28,29,33,1
24/01/2023,3,16,20,28,34,36,3
21/01/2023,6,7,9,18,21,31,7
17/01/2023,1,5,9,12,18,36,6
14/01/2023,4,5,9,18,19,35,2
10/01/2023,1,26,28,31,34,36,3
07/01/2023,10,14,17,20,31,36,5
03/01/2023,2,6,29,30,31,32,2
31/12/2022,4,8,17,20,24,32,3
27/12/2022,6,7,14,27,31,32,6
24/12/2022,6,17,24,25,30,34,7
20/12/2022,6,8,13,20,34,35,6
17/12/2022,6,11,15,16,17,22,7
15/12/2022,6,14,20,28,33,34,7
13/12/2022,7,11,30,31,33,35,6
10/12/2022,13,22,25,26,33,37,3
06/12/2022,3,6,14,19,34,35,3
03/12/2022,4,16,26,29,35,37,6
01/12/2022,5,18,19,23,24,35,2
29/11/2022,4,5,6,25,26,28,7
26/11/2022,2,5,9,12,15,16,4
22/11/2022,11,17,25,26,27,32,4
19/11/2022,10,13,16,29,30,35,4
17/11/2022,3,12,13,16,29,34,1
15/11/2022,4,9,10,15,26,27,2
12/11/2022,4,9,17,25,33,37,6
08/11/2022,4,5,6,31,33,36,7
05/11/2022,6,9,22,25,31,34,4
01/11/2022,2,3,4,5,11,15,3
29/10/2022,2,5,15,24,32,33,3
27/10/2022,12,13,22,25,28,36,2
25/10/2022,5,7,10,16,31,32,4
22/10/2022,5,11,13,19,32,37,5
18/10/2022,5,7,13,17,25,32,4
15/10/2022,3,15,17,21,26,29,6
11/10/2022,5,16,18,26,29,35,4
08/10/2022,2,12,14,15,33,37,3
06/10/2022,5,6,11,18,19,35,2
01/10/2022,9,17,20,21,30,33,7
29/09/2022,6,21,24,27,28,37,6
24/09/2022,4,10,11,13,20,32,1
20/09/2022,1,15,17,29,33,34,2
17/09/2022,9,11,14,20,31,33,1
15/09/2022,6,7,15,19,27,33,7
13/09/2022,2,7,10,13,25,34,6
10/09/2022,2,7,14,17,19,28,4
06/09/2022,3,20,23,25,32,35,5
03/09/2022,1,9,13,20,22,36,5
30/08/2022,9,12,17,18,20,36,7
27/08/2022,9,16,22,27,30,34,6
23/08/2022,2,6,14,17,25,33,3
20/08/2022,8,13,16,19,23,36,1
16/08/2022,1,11,15,19,21,32,2
13/08/2022,14,18,21,27,28,34,3
09/08/2022,6,9,12,14,25,29,7
07/08/2022,8,19,25,30,31,36,2
02/08/2022,6,8,9,20,23,28,7
30/07/2022,7,13,24,26,35,37,7
28/07/2022,2,15,17,27,34,37,1
26/07/2022,11,12,13,16,34,36,6
23/07/2022,7,13,19,21,25,37,6
19/07/2022,4,8,9,10,15,24,7
16/07/2022,1,7,8,11,12,25,2
14/07/2022,6,12,15,19,26,27,4
12/07/2022,9,14,15,23,27,33,2
09/07/2022,1,12,15,19,27,31,4
05/07/2022,1,15,16,31,32,33,2
02/07/2022,2,4,12,14,26,37,4
28/06/2022,1,4,7,21,22,36,6
25/06/2022,12,17,26,28,32,35,1
21/06/2022,4,6,7,12,17,27,7
18/06/2022,1,4,9,12,30,31,3
16/06/2022,1,7,10,13,29,36,2
14/06/2022,3,5,6,10,15,36,3
11/06/2022,7,8,20,31,36,37,4
07/06/2022,3,6,13,23,25,29,5
02/06/2022,11,24,25,27,29,32,3
31/05/2022,2,5,10,19,27,36,1
28/05/2022,1,2,8,19,31,33,7
24/05/2022,6,10,13,20,23,35,7
21/05/2022,3,4,5,15,24,33,6
19/05/2022,1,8,18,25,29,30,1
17/05/2022,1,4,5,24,31,32,6
14/05/2022,9,16,17,21,26,29,6
10/05/2022,17,19,21,23,25,34,7
07/05/2022,3,13,21,24,27,35,2
02/05/2022,1,14,15,17,28,37,1
30/04/2022,8,9,10,18,29,32,2
26/04/2022,7,10,11,19,22,29,6
24/04/2022,10,13,17,22,29,35,3
19/04/2022,2,3,5,8,14,19,7
16/04/2022,6,7,14,19,20,23,6
12/04/2022,9,15,17,23,26,29,3
09/04/2022,2,12,19,29,30,33,1
07/04/2022,15,20,27,29,36,37,7
05/04/2022,7,14,15,20,27,36,5
02/04/2022,1,3,9,26,29,34,1
29/03/2022,1,3,5,11,25,31,1
26/03/2022,1,11,12,13,18,36,2
22/03/2022,2,16,26,27,33,35,7
19/03/2022,9,10,18,19,29,35,7
17/03/2022,8,18,21,23,33,36,1
15/03/2022,3,9,16,27,34,37,7
12/03/2022,1,4,16,21,22,35,7
08/03/2022,1,2,4,8,18,21,5
05/03/2022,10,12,19,23,27,30,3
01/03/2022,7,16,20,30,32,33,5
26/02/2022,1,22,27,30,31,37,3
22/02/2022,14,22,25,28,33,34,6
19/02/2022,9,12,15,25,29,30,5
15/02/2022,4,8,11,12,15,25,2
12/02/2022,2,5,12,15,16,34,4
10/02/2022,3,9,10,16,27,31,5
08/02/2022,2,15,17,18,31,33,1
05/02/2022,6,7,16,30,32,36,3
01/02/2022,2,6,9,11,33,37,1
29/01/2022,3,5,7,23,26,36,1
25/01/2022,3,24,26,27,32,37,5
22/01/2022,8,16,18,19,35,36,6
18/01/2022,8,17,21,27,33,34,3
15/01/2022,7,12,17,19,36,37,3
13/01/2022,1,5,10,11,23,34,5
11/01/2022,8,9,30,31,33,36,4
08/01/2022,7,10,12,15,18,34,3
04/01/2022,1,6,9,12,28,29,7
01/01/2022,4,8,9,28,33,37,2
28/12/2021,6,8,14,15,23,36,1
